Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"wallet finder",2838,Electronics,FBA,"Small Standard-Size",3,47472,28.87,3560,90676.63,13268,4.22,3,67781,-25,8,0,"Dec, 2022",5,659,2.54
"samsung m8",2838,Electronics,Amazon,"Small Oversize",3,39994,297.78,477,102253.16,1051,4.16,4,8094,0,0,0,"Jan, 2024",4,165,4.46
"onyx boox",2838,Electronics,FBA,"Large Standard-Size",1,62824,314.42,341,122132.29,456,4.15,2,4215,57,53,0,"Jan, 2024",5,185,10.32
"samsung digital camera",2838,Electronics,FBA,"Large Standard-Size",5,90595,215.58,1609,70092.26,1075,4.07,2,20826,-39,-82,0,"Jan, 2024",5,109,0.95
"mtx terminator 12 inch subwoofers",2838,Electronics,FBM,"Small Oversize",1,162632,226.06,22,4599.76,194,4.17,4,298,-32,0,0,"Dec, 2022",2,150,0.29
"magic box 3.0",2838,Electronics,FBA,"Large Standard-Size",2,42429,164.93,515,47575.05,306,3.91,2,7182,-38,0,-2,"Jan, 2024",1,192,6.24
"series 9 apple watch",2838,Electronics,FBA,"Large Standard-Size",25,9734,195.91,4964,311906.48,17570,4.35,3,79178,,-29,-2,"Nov, 2023",7,170,11.10
televisores,2838,Electronics,Amazon,"Small Oversize",8,4898,324.71,2636,530784.42,2259,4.38,15,36644,343,22,0,"Nov, 2023",7,866,4.61
"paypal gift card",2838,Electronics,Amazon,"Small Standard-Size",3,3436,50,932,46600,1627,4.50,1,,,-41,0,"Dec, 2023",4,158,0.57
"jbl 310 partybox",2838,Electronics,FBA,"Small Oversize",2,27723,292.92,875,188728.7,1306,4.70,10,10713,542,0,6,"Nov, 2023",3,170,3.24
"mirrorless digital camera",2838,Electronics,FBM,"Large Standard-Size",7,34734,931.49,164,138516.88,622,4.61,13,1993,14,-16,1,"Mar, 2022",5,1000,0.71
"amazon fire stick 4k+",2838,Electronics,Amazon,"Large Standard-Size",1,53022,37.17,16669,651386.19,34647,4.08,24,254981,213,19,5,"Mar, 2022",6,101,0.93
"40 inch monitor",2838,Electronics,Amazon,"Small Oversize",4,17545,416.27,2073,520725.44,3423,4.40,11,20511,125,-51,-1,"Nov, 2023",5,248,1.19
"edifier headphones",2838,Electronics,FBA,"Large Standard-Size",5,37176,79.34,1191,61302.76,1662,4.28,2,1275,,0,0,"Dec, 2023",5,192,0.67
"apple airtag sale",2838,Electronics,FBA,"Small Standard-Size",7,6489,20.48,9657,407367.38,30721,4.64,2,238409,-28,0,-6,"Jan, 2024",3,267,12.70
airp,2838,Electronics,FBA,"Large Standard-Size",2,136470,62.82,11630,1281316.29,104587,4.30,3,191630,245,0,-3,"Oct, 2023",3,106,2.04
